id,title,date,category,url
1,$5 Million Reward Offer for Information Leading to Arrest and/or Conviction of Leader of Foreign Terrorist Organization MS-13,"April 21, 2025",press_release,https://www.state.gov/5-million-reward-offer-for-information-leading-to-arrest-and-or-conviction-of-leader-of-foreign-terrorist-organization-ms-13/
2,The 50th Anniversary of the Biological Weapons Convention,"March 26, 2025",press_release,https://www.state.gov/50th-anniversary-of-the-biological-weapons-convention/
3,Accountability for Material Support to Houthi Terrorist Activity and Related Networks,"April 9, 2025",press_release,https://www.state.gov/accountability-for-material-support-to-houthi-terrorist-activity-and-related-networks/
4,Acting Assistant Secretary Ganzer’s Travel to Canada,"February 11, 2025",press_release,https://www.state.gov/acting-assistant-secretary-ganzers-travel-to-canada/
5,Acting Assistant Secretary Lochman’s Travel to Belgium and Croatia,"March 21, 2025",press_release,https://www.state.gov/acting-assistant-secretary-lochmans-travel-to-belgium-and-croatia/
6,"Acting Assistant Secretary Lochman’s Travel to Houston, Texas","March 7, 2025",press_release,https://www.state.gov/acting-assistant-secretary-lochmans-travel-to-houston-texas/
7,Agreement between the Syrian Interim Authorities and the Syrian Democratic Forces,"March 11, 2025",press_release,https://www.state.gov/agreement-between-the-syrian-interim-authorities-and-the-syrian-democratic-forces/
8,Ambassador Murray’s Travel to the Republic of Korea for the First APEC Senior Officials’ Meeting,"March 3, 2025",press_release,https://www.state.gov/ambassador-murrays-travel-to-the-republic-of-korea-for-the-first-apec-senior-officials-meeting/
9,Announcement of a Visa Restriction Policy Targeting Foreign Nationals Who Censor Americans,"May 28, 2025",press_release,https://www.state.gov/announcement-of-a-visa-restriction-policy-targeting-foreign-nationals-who-censor-americans/
10,Announcement of a Visa Restriction Policy Targeting Foreign Officials and Others Facilitating Illegal Migration into the United States,"March 5, 2025",press_release,https://www.state.gov/announcement-of-a-visa-restriction-policy-targeting-foreign-officials-and-others-facilitating-illegal-migration-into-the-united-states/
11,Announcement of a Visa Restriction Policy to Address the Forced Return of Uyghurs and Members of Other Ethnic or Religious Groups with Protection Concerns to China,"March 14, 2025",press_release,https://www.state.gov/announcement-of-a-visa-restriction-policy-to-address-the-forced-return-of-uyghurs-and-members-of-other-ethnic-or-religious-groups-with-protection-concerns-to-china/
12,Announcement of Candidate to the Inter-American Commission on Human Rights,"March 26, 2025",press_release,https://www.state.gov/announcement-of-candidate-to-the-inter-american-commission-on-human-rights/
13,Announcement of Massad Boulos as Senior Advisor for Africa,"April 1, 2025",press_release,https://www.state.gov/announcement-of-massad-boulos-as-senior-advisor-for-africa/
14,ANZAC Day,"April 24, 2025",press_release,https://www.state.gov/anzac-day/
15,Appointment of William E. Grayson as Commissioner General for the USA Pavilion at Expo 2025 Osaka,"May 29, 2025",press_release,https://www.state.gov/appointment-of-william-e-grayson-as-commissioner-general-for-the-usa-pavilion-at-expo-2025-osaka/
16,April 10th Meeting in Istanbul,"April 10, 2025",press_release,https://www.state.gov/april-10th-meeting-in-istanbul/
17,Assistant to the President and Special Presidential Envoy Kellogg’s Travel to Europe,"February 12, 2025",press_release,https://www.state.gov/assistant-to-the-president-and-special-presidential-envoy-kelloggs-travel-to-europe/
